Date;Poule;niveau_observation;Ponte;Etat_oeuf;Doute;Effectif;Remarques
2023-01-13;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-13;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-14;Augustine;individuel;0;RAS;False;1;RAS
2023-01-14;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-14;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-14;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-14;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-14;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-14;Valérie;individuel;0;RAS;False;1;RAS
2023-01-14;MARANS;groupe;1;RAS;False;1;RAS
2023-01-15;MARANS;groupe;0;RAS;False;1;RAS
2023-01-15;Valérie;individuel;0;RAS;False;1;RAS
2023-01-15;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-15;Augustine;individuel;0;RAS;False;1;RAS
2023-01-15;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-15;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-15;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-15;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-16;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-16;MARANS;groupe;1;RAS;False;1;RAS
2023-01-16;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-16;Augustine;individuel;0;RAS;False;1;RAS
2023-01-16;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-16;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-16;Valérie;individuel;0;RAS;False;1;RAS
2023-01-16;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-17;MARANS;groupe;0;RAS;False;1;RAS
2023-01-17;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-17;Valérie;individuel;0;RAS;False;1;RAS
2023-01-17;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-17;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-17;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-17;Augustine;individuel;0;RAS;False;1;RAS
2023-01-17;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-18;Valérie;individuel;0;RAS;False;1;RAS
2023-01-18;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-18;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-18;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-18;MARANS;groupe;0;RAS;False;1;RAS
2023-01-18;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-18;Augustine;individuel;0;RAS;False;1;RAS
2023-01-18;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-19;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-19;Augustine;individuel;0;RAS;False;1;RAS
2023-01-19;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-19;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-19;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-19;Valérie;individuel;0;RAS;False;1;RAS
2023-01-19;MARANS;groupe;1;RAS;False;1;RAS
2023-01-19;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-20;Augustine;individuel;0;RAS;False;1;RAS
2023-01-20;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-20;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-20;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-20;Valérie;individuel;0;RAS;False;1;RAS
2023-01-20;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-20;MARANS;groupe;0;RAS;False;1;RAS
2023-01-20;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-21;MARANS;groupe;1;RAS;False;1;RAS
2023-01-21;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-21;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-21;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-21;Augustine;individuel;0;RAS;False;1;RAS
2023-01-21;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-21;Valérie;individuel;0;RAS;False;1;RAS
2023-01-21;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-22;MARANS;groupe;0;RAS;False;1;RAS
2023-01-22;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-22;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-22;Valérie;individuel;0;RAS;False;1;RAS
2023-01-22;Augustine;individuel;0;RAS;False;1;RAS
