Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques;niveau_observation;group_id
2023-01-13;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-13;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-14;Augustine;;0;1;RAS;False;;individuel;
2023-01-14;Rémiel;;0;1;RAS;False;;individuel;
2023-01-14;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-14;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-14;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-14;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-14;Valérie;;0;1;RAS;False;;individuel;
2023-01-14;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-01-15;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-15;Valérie;;0;1;RAS;False;;individuel;
2023-01-15;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-15;Augustine;;0;1;RAS;False;;individuel;
2023-01-15;Saquiel;;0;1;RAS;False;;individuel;
2023-01-15;Rémiel;;0;1;RAS;False;;individuel;
2023-01-15;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-15;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-16;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-16;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-01-16;Rémiel;;0;1;RAS;False;;individuel;
2023-01-16;Augustine;;0;1;RAS;False;;individuel;
2023-01-16;Joséphine;;0;1;RAS;False;;individuel;
2023-01-16;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-16;Valérie;;0;1;RAS;False;;individuel;
2023-01-16;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-17;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-17;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-17;Valérie;;0;1;RAS;False;;individuel;
2023-01-17;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-17;Saquiel;;0;1;RAS;False;;individuel;
2023-01-17;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-17;Augustine;;0;1;RAS;False;;individuel;
2023-01-17;Rémiel;;0;1;RAS;False;;individuel;
2023-01-18;Valérie;;0;1;RAS;False;;individuel;
2023-01-18;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-18;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-18;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-18;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-18;Rémiel;;0;1;RAS;False;;individuel;
2023-01-18;Augustine;;0;1;RAS;False;;individuel;
2023-01-18;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-19;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-19;Augustine;;0;1;RAS;False;;individuel;
2023-01-19;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-19;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-19;Rémiel;;0;1;RAS;False;;individuel;
2023-01-19;Valérie;;0;1;RAS;False;;individuel;
2023-01-19;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-01-19;Saquiel;;0;1;RAS;False;;individuel;
2023-01-20;Augustine;;0;1;RAS;False;;individuel;
2023-01-20;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-20;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-20;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-20;Valérie;;0;1;RAS;False;;individuel;
2023-01-20;Rémiel;;0;1;RAS;False;;individuel;
2023-01-20;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-20;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-21;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-01-21;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-21;Rémiel;;0;1;RAS;False;;individuel;
2023-01-21;Saquiel;;0;1;RAS;False;;individuel;
2023-01-21;Augustine;;0;1;RAS;False;;individuel;
2023-01-21;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-21;Valérie;;0;1;RAS;False;;individuel;
2023-01-21;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-22;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-22;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-22;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-22;Valérie;;0;1;RAS;False;;individuel;
2023-01-22;Augustine;;0;1;RAS;False;;individuel;
2023-01-22;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-22;Rémiel;;0;1;RAS;False;;individuel;
2023-01-22;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-23;Saquiel;;0;1;RAS;False;;individuel;
2023-01-23;Rémiel;;0;1;RAS;False;;individuel;
2023-01-23;Valérie;;0;1;RAS;False;;individuel;
2023-01-23;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-23;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-23;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-23;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-23;Augustine;;0;1;RAS;False;;individuel;
2023-01-24;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-24;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-24;Valérie;;0;1;RAS;False;;individuel;
2023-01-24;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-24;Augustine;;0;1;RAS;False;;individuel;
2023-01-24;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-24;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-24;Rémiel;;0;1;RAS;False;;individuel;
2023-01-25;Valérie;;0;1;RAS;False;;individuel;
2023-01-25;Rémiel;;0;1;RAS;False;;individuel;
2023-01-25;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-25;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-25;Augustine;;0;1;RAS;False;;individuel;
2023-01-25;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-25;Joséphine;;0;1;RAS;False;;individuel;
2023-01-25;Saquiel;;0;1;RAS;False;;individuel;
2023-01-26;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-26;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-26;Rémiel;;0;1;RAS;False;;individuel;
2023-01-26;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-26;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-26;Valérie;;0;1;RAS;False;;individuel;
2023-01-26;Augustine;;0;1;RAS;False;;individuel;
2023-01-26;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-27;Rémiel;;0;1;RAS;False;;individuel;
2023-01-27;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-27;Valérie;;0;1;RAS;False;;individuel;
2023-01-27;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-27;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-27;Augustine;;0;1;RAS;False;;individuel;
2023-01-27;Joséphine;;0;1;RAS;False;;individuel;
2023-01-27;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-28;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-28;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-28;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-28;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-28;Augustine;;0;1;RAS;False;;individuel;
2023-01-28;Rémiel;;0;1;RAS;False;;individuel;
2023-01-28;Valérie;;0;1;RAS;False;;individuel;
2023-01-28;Joséphine;;0;1;RAS;False;;individuel;
2023-01-29;Rémiel;;0;1;RAS;False;;individuel;
2023-01-29;Joséphine;;0;1;RAS;False;;individuel;
2023-01-29;Augustine;;0;1;RAS;False;;individuel;
2023-01-29;Saquiel;;0;1;RAS;False;;individuel;
2023-01-29;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-29;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-29;Valérie;;0;1;RAS;False;;individuel;
2023-01-29;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-30;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-30;Rémiel;;0;1;RAS;False;;individuel;
2023-01-30;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-30;Joséphine;;0;1;RAS;False;;individuel;
2023-01-30;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-30;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-30;Valérie;;0;1;RAS;False;;individuel;
