Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;THI;Météo;Météo_1;Météo_2;Météo_3;Météo_4;Météo_1_Cat;Météo_2_Cat;Météo_3_Cat;Météo_4_Cat;Météo_Cat
2023-02-23;couvert;4.0;11.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-02-24;beau;2.5;12.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-02-25;couvert;0.0;7.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-02-26;vent/froid/couvert;0.0;5.0;;;vent/froid/couvert;vent;froid;couvert;;VENT;FROID;COUVERT;;COUVERT|FROID|VENT
2023-02-27;vent/neige/éclaircie;0.0;1.0;;;vent/neige/éclaircie;vent;neige;éclaircie;;VENT;NEIGE;ECLAIRCIES;;ECLAIRCIES|NEIGE|VENT
2023-02-28;éclaircie/vent;0.0;2.0;;;éclaircie/vent;éclaircie;vent;;;ECLAIRCIES;VENT;;;ECLAIRCIES|VENT
2023-03-01;beau;0.0;8.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-02;couvert;0.0;7.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-03-03;couvert;0.0;7.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-03-04;éclaircie;1.5;10.0;;;éclaircie;éclaircie;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-03-05;éclaircie;0.0;10.0;;;éclaircie;éclaircie;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-03-06;beau;0.0;10.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-07;éclaircie/averse;0.0;12.0;;;éclaircie/averse;éclaircie;averse;;;ECLAIRCIES;PLUIE;;;ECLAIRCIES|PLUIE
2023-03-08;voilé;2.0;23.0;;;voilé;voilé;;;;COUVERT;;;;COUVERT
2023-03-09;éclaircies;0.0;20.0;;;éclaircies;éclaircies;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-03-10;mitigé;0.5;18.0;;;mitigé;mitigé;;;;INSTABLE;;;;INSTABLE
2023-03-11;mitigé/vent violent;0.0;15.0;;;mitigé/vent violent;mitigé;vent violent;;;INSTABLE;VENT;;;INSTABLE|VENT
2023-03-12;vent/pluie;0.5;15.0;;;vent/pluie;vent;pluie;;;VENT;PLUIE;;;PLUIE|VENT
2023-03-13;bruine puis très beau;4.0;23.0;;;bruine/très beau;bruine;très beau;;;PLUIE;BEAU;;;BEAU|PLUIE
2023-03-14;beau/orage/tempête;14.0;22.0;;;beau/orage/tempête;beau;orage;tempête;;BEAU;ORAGE;VENT;;BEAU|ORAGE|VENT
2023-03-15;giboulées;2.0;12.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-03-16;pluie/éclaircie;5.0;15.0;;;pluie/éclaircie;pluie;éclaircie;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-03-17;beau/vent;0.0;19.0;;;beau/vent;beau;vent;;;BEAU;VENT;;;BEAU|VENT
2023-03-18;couvert/beau/vent;0.0;18.0;;;couvert/beau/vent;couvert;beau;vent;;COUVERT;BEAU;VENT;;BEAU|COUVERT|VENT
2023-03-19;beau/pluie;7.0;16.0;;;beau/pluie;beau;pluie;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-03-20;giboulées;1.5;16.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-03-21;beau;0.0;17.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-22;beau;0.0;19.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-23;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-24;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
