Date;Commentaires;œuf trouvé/date de la trouvaille
2025-12-21;vent dès 17h;
2025-12-22;;
2025-12-23;;x(marans)
2025-12-24;;
2025-12-25;;
2025-12-26;;
2025-12-27;vent;
2025-12-28;;
2025-12-29;gelée matinale/;
2025-12-30;;
2025-12-31;;
