Date;Poule_brute;Ponte_brute;niveau_observation;group_id
2023-01-21;Joséphine;x;individuel;
2023-01-21;Rémiel;;individuel;
2023-01-21;Saquiel;;individuel;
2023-01-21;Augustine;;individuel;
2023-01-21;Cunégonde;x;individuel;
2023-01-21;Valérie;;individuel;
2023-01-21;Pioupioute;;individuel;
2023-01-22;MARANS;;groupe;MARANS
2023-01-22;Joséphine;x;individuel;
2023-01-22;Saquiel;x;individuel;
2023-01-22;Valérie;;individuel;
2023-01-22;Augustine;;individuel;
2023-01-22;Cunégonde;x;individuel;
2023-01-22;Rémiel;;individuel;
2023-01-22;Pioupioute;;individuel;
2023-01-23;Saquiel;;individuel;
2023-01-23;Rémiel;;individuel;
2023-01-23;Valérie;;individuel;
2023-01-23;Pioupioute;;individuel;
2023-01-23;MARANS;;groupe;MARANS
2023-01-23;Cunégonde;;individuel;
2023-01-23;Joséphine;x;individuel;
2023-01-23;Augustine;;individuel;
2023-01-24;MARANS;;groupe;MARANS
2023-01-24;Cunégonde;x;individuel;
2023-01-24;Valérie;;individuel;
2023-01-24;Saquiel;x;individuel;
2023-01-24;Augustine;;individuel;
2023-01-24;Joséphine;x;individuel;
2023-01-24;Pioupioute;;individuel;
2023-01-24;Rémiel;;individuel;
2023-01-25;Valérie;;individuel;
2023-01-25;Rémiel;;individuel;
2023-01-25;MARANS;;groupe;MARANS
2023-01-25;Cunégonde;x;individuel;
2023-01-25;Augustine;;individuel;
2023-01-25;Pioupioute;;individuel;
2023-01-25;Joséphine;;individuel;
2023-01-25;Saquiel;;individuel;
2023-01-26;Joséphine;x;individuel;
2023-01-26;Cunégonde;x;individuel;
2023-01-26;Rémiel;;individuel;
2023-01-26;Saquiel;x;individuel;
2023-01-26;Pioupioute;;individuel;
2023-01-26;Valérie;;individuel;
2023-01-26;Augustine;;individuel;
2023-01-26;MARANS;;groupe;MARANS
2023-01-27;Rémiel;;individuel;
2023-01-27;Pioupioute;;individuel;
2023-01-27;Valérie;;individuel;
2023-01-27;Saquiel;x;individuel;
2023-01-27;MARANS;;groupe;MARANS
2023-01-27;Augustine;;individuel;
2023-01-27;Joséphine;;individuel;
2023-01-27;Cunégonde;;individuel;
2023-01-28;Pioupioute;;individuel;
2023-01-28;Saquiel;x;individuel;
2023-01-28;MARANS;;groupe;MARANS
2023-01-28;Cunégonde;;individuel;
2023-01-28;Augustine;;individuel;
2023-01-28;Rémiel;;individuel;
2023-01-28;Valérie;;individuel;
2023-01-28;Joséphine;;individuel;
2023-01-29;Rémiel;;individuel;
2023-01-29;Joséphine;;individuel;
2023-01-29;Augustine;;individuel;
2023-01-29;Saquiel;;individuel;
2023-01-29;Pioupioute;;individuel;
2023-01-29;Cunégonde;x;individuel;
2023-01-29;Valérie;;individuel;
2023-01-29;MARANS;;groupe;MARANS
2023-01-30;MARANS;;groupe;MARANS
2023-01-30;Rémiel;;individuel;
2023-01-30;Saquiel;x;individuel;
2023-01-30;Joséphine;;individuel;
2023-01-30;Cunégonde;;individuel;
2023-01-30;Pioupioute;;individuel;
2023-01-30;Valérie;;individuel;
2023-01-30;Augustine;;individuel;
2023-01-31;Cunégonde;x;individuel;
2023-01-31;Saquiel;;individuel;
2023-01-31;Pioupioute;;individuel;
2023-01-31;Joséphine;;individuel;
2023-01-31;Valérie;;individuel;
2023-01-31;Rémiel;;individuel;
2023-01-31;Augustine;;individuel;
2023-01-31;MARANS;;groupe;MARANS
2023-02-01;MARANS;;groupe;MARANS
2023-02-01;Pioupioute;x? ;individuel;
2023-02-01;Joséphine;;individuel;
2023-02-01;Augustine;;individuel;
2023-02-01;Cunégonde;x;individuel;
2023-02-01;Saquiel;;individuel;
2023-02-01;Rémiel;x;individuel;
2023-02-01;Valérie;;individuel;
2023-02-02;MARANS;;groupe;MARANS
2023-02-02;Joséphine;;individuel;
2023-02-02;Saquiel;x;individuel;
2023-02-02;Valérie;;individuel;
2023-02-02;Augustine;;individuel;
2023-02-02;Pioupioute;;individuel;
2023-02-02;Cunégonde;;individuel;
2023-02-02;Rémiel;x;individuel;
2023-02-03;MARANS;;groupe;MARANS
2023-02-03;Cunégonde;x;individuel;
2023-02-03;Augustine;;individuel;
