Date;Poule_brute;Ponte_brute
2023-01-29;Rémiel;
2023-01-29;Joséphine;
2023-01-29;Augustine;
2023-01-29;Saquiel;
2023-01-29;Pioupioute;
2023-01-29;Albertine;
2023-01-29;Cunégonde;x
2023-01-29;Valérie;
2023-01-30;Rémiel;
2023-01-30;Saquiel;x
2023-01-30;Joséphine;
2023-01-30;Cunégonde;
2023-01-30;Pioupioute;
2023-01-30;Valérie;
2023-01-30;Augustine;
2023-01-30;Albertine;
2023-01-31;Albertine;
2023-01-31;Cunégonde;x
2023-01-31;Saquiel;
2023-01-31;Pioupioute;
2023-01-31;Joséphine;
2023-01-31;Valérie;
2023-01-31;Rémiel;
2023-01-31;Augustine;
2023-02-01;Pioupioute;x? 
2023-02-01;Valérie;
2023-02-01;Albertine;
2023-02-01;Rémiel;x
2023-02-01;Saquiel;
2023-02-01;Cunégonde;x
2023-02-01;Augustine;
2023-02-01;Joséphine;
2023-02-02;Cunégonde;
2023-02-02;Albertine;
2023-02-02;Pioupioute;
2023-02-02;Augustine;
2023-02-02;Valérie;
2023-02-02;Saquiel;x
2023-02-02;Joséphine;
2023-02-02;Rémiel;x
2023-02-03;Augustine;
2023-02-03;Joséphine;
2023-02-03;Valérie;
2023-02-03;Rémiel;
2023-02-03;Pioupioute;
2023-02-03;Albertine;
2023-02-03;Saquiel;
2023-02-03;Cunégonde;x
2023-02-04;Augustine;
2023-02-04;Rémiel;
2023-02-04;Valérie;
2023-02-04;Albertine;
2023-02-04;Joséphine;
2023-02-04;Cunégonde;
2023-02-04;Pioupioute;x
2023-02-04;Saquiel;x
2023-02-05;Valérie;
2023-02-05;Rémiel;
2023-02-05;Saquiel;
2023-02-05;Augustine;
2023-02-05;Cunégonde;x
2023-02-05;Pioupioute;
2023-02-05;Joséphine;
2023-02-05;Albertine;
2023-02-06;Cunégonde;
2023-02-06;Augustine;
2023-02-06;Pioupioute;x
2023-02-06;Rémiel;
2023-02-06;Joséphine;
2023-02-06;Albertine;
2023-02-06;Valérie;
2023-02-06;Saquiel;
2023-02-07;Joséphine;
2023-02-07;Saquiel;
2023-02-07;Augustine;zentonyl
2023-02-07;Valérie;
2023-02-07;Cunégonde;x
2023-02-07;Rémiel;x
2023-02-07;Pioupioute;
2023-02-07;Albertine;x
2023-02-08;Valérie;
2023-02-08;Pioupioute;
2023-02-08;Rémiel;
2023-02-08;Saquiel;x
2023-02-08;Albertine;
2023-02-08;Augustine;
2023-02-08;Joséphine;
2023-02-08;Cunégonde;
2023-02-09;Cunégonde;
2023-02-09;Pioupioute;
2023-02-09;Albertine;
2023-02-09;Valérie;
2023-02-09;Augustine;
2023-02-09;Saquiel;
2023-02-09;Rémiel;x
2023-02-09;Joséphine;
2023-02-10;Cunégonde;x
2023-02-10;Valérie;
2023-02-10;Saquiel;
2023-02-10;Joséphine;x
2023-02-10;Augustine;
2023-02-10;Pioupioute;
2023-02-10;Rémiel;
2023-02-10;Albertine;x
2023-02-11;Augustine;antibio
2023-02-11;Saquiel;
2023-02-11;Albertine;
2023-02-11;Rémiel;
2023-02-11;Pioupioute;x
2023-02-11;Valérie;
2023-02-11;Cunégonde;
2023-02-11;Joséphine;x
2023-02-12;Saquiel;
2023-02-12;Cunégonde;x
2023-02-12;Augustine;
2023-02-12;Pioupioute;x
2023-02-12;Rémiel;
2023-02-12;Joséphine;x
2023-02-12;Valérie;
2023-02-12;Albertine;x
2023-02-13;Saquiel;
2023-02-13;Augustine;
2023-02-13;Rémiel;x
2023-02-13;Joséphine;x
2023-02-13;Albertine;x
2023-02-13;Valérie;
2023-02-13;Pioupioute;x
2023-02-13;Cunégonde;x
2023-02-14;Rémiel;x
2023-02-14;Valérie;
2023-02-14;Joséphine;
2023-02-14;Saquiel;
2023-02-14;Albertine;
2023-02-14;Pioupioute;x
2023-02-14;Augustine;
2023-02-14;Cunégonde;
2023-02-15;Rémiel;
2023-02-15;Saquiel;
2023-02-15;Pioupioute;
2023-02-15;Augustine;
2023-02-15;Joséphine;x
2023-02-15;Cunégonde;x
2023-02-15;Valérie;
2023-02-15;Albertine;x
2023-02-16;Cunégonde;x
2023-02-16;Pioupioute;
2023-02-16;Joséphine;x
2023-02-16;Rémiel;
2023-02-16;Valérie;
2023-02-16;Augustine;
2023-02-16;Albertine;x
2023-02-16;Saquiel;x(cassé)
2023-02-17;Valérie;
2023-02-17;Pioupioute;x(cassé)
2023-02-17;Albertine;
2023-02-17;Cunégonde;
2023-02-17;Rémiel;
2023-02-17;Joséphine;x
2023-02-17;Augustine;fin antibio
2023-02-17;Saquiel;
2023-02-18;Cunégonde;x
2023-02-18;Albertine;x
2023-02-18;Saquiel;
2023-02-18;Augustine;
2023-02-18;Valérie;
2023-02-18;Joséphine;x
2023-02-18;Pioupioute;
2023-02-18;Rémiel;
2023-02-19;Cunégonde;x
2023-02-19;Albertine;x
2023-02-19;Valérie;
2023-02-19;Pioupioute;x
2023-02-19;Joséphine;x
2023-02-19;Saquiel;
2023-02-19;Augustine;
2023-02-19;Rémiel;x
2023-02-20;Albertine;
2023-02-20;Valérie;
2023-02-20;Joséphine;x
2023-02-20;Cunégonde;
2023-02-20;Pioupioute;antibio
2023-02-20;Augustine;
2023-02-20;Saquiel;
2023-02-20;Rémiel;
2023-02-21;Cunégonde;x
2023-02-21;Joséphine;x
2023-02-21;Saquiel;
2023-02-21;Rémiel;x
2023-02-21;Valérie;
2023-02-21;Augustine;
2023-02-21;Albertine;x
2023-02-21;Pioupioute;x
2023-02-22;Saquiel;
2023-02-22;Rémiel;
2023-02-22;Pioupioute;
2023-02-22;Valérie;
2023-02-22;Joséphine;x
2023-02-22;Albertine;x
2023-02-22;Cunégonde;x
2023-02-22;Augustine;
2023-02-23;Valérie;
2023-02-23;Joséphine;x
2023-02-23;Pioupioute;
2023-02-23;Rémiel;
2023-02-23;Cunégonde;x
2023-02-23;Augustine;
2023-02-23;Albertine;
2023-02-23;Saquiel;
2023-02-24;Joséphine;x
2023-02-24;Pioupioute;fin antibio
2023-02-24;Rémiel;
2023-02-24;Albertine;x
2023-02-24;Saquiel;
2023-02-24;Cunégonde;x
2023-02-24;Valérie;
2023-02-24;Augustine;
2023-02-25;Saquiel;
2023-02-25;Albertine;
2023-02-25;Valérie;
2023-02-25;Joséphine;x
2023-02-25;Rémiel;x
2023-02-25;Pioupioute;
2023-02-25;Augustine;
2023-02-25;Cunégonde;x
2023-02-26;Valérie;
2023-02-26;Albertine;x
2023-02-26;Augustine;
2023-02-26;Joséphine;
2023-02-26;Cunégonde;x
2023-02-26;Pioupioute;x
2023-02-26;Saquiel;x(cassé)
2023-02-26;Rémiel;
2023-02-27;Cunégonde;x
2023-02-27;Joséphine;x
2023-02-27;Pioupioute;
2023-02-27;Augustine;
2023-02-27;Albertine;x
2023-02-27;Valérie;x
2023-02-27;Saquiel;x(cassé)
2023-02-27;Rémiel;
2023-02-28;Joséphine;x
2023-02-28;Rémiel;
2023-02-28;Pioupioute;
2023-02-28;Augustine;
2023-02-28;Saquiel;
2023-02-28;Cunégonde;x
2023-02-28;Valérie;
2023-02-28;Albertine;
2023-03-01;Cunégonde;x
2023-03-01;Valérie;x
2023-03-01;Augustine;
2023-03-01;Albertine;x
2023-03-01;Pioupioute;x
2023-03-01;Rémiel;x
2023-03-01;Saquiel;
2023-03-01;Joséphine;x
2023-03-02;Cunégonde;x
2023-03-02;Rémiel;
2023-03-02;Valérie;x
2023-03-02;Saquiel;
2023-03-02;Joséphine;x
2023-03-02;Albertine;
2023-03-02;Augustine;
2023-03-02;Pioupioute;x
2023-03-03;Valérie;
2023-03-03;Saquiel;x(cassé)
2023-03-03;Cunégonde;x
2023-03-03;Pioupioute;
2023-03-03;Joséphine;x
2023-03-03;Augustine;
2023-03-03;Rémiel;x
2023-03-03;Albertine;x
2023-03-04;Albertine;
2023-03-04;Rémiel;
2023-03-04;Joséphine;x
2023-03-04;Pioupioute;
2023-03-04;Saquiel;
2023-03-04;Cunégonde;x
2023-03-04;Valérie;
2023-03-04;Augustine;
2023-03-05;Joséphine;x
2023-03-05;Saquiel;x(cassé)
2023-03-05;Albertine;x
2023-03-05;Augustine;
2023-03-05;Valérie;x
2023-03-05;Cunégonde;x
2023-03-05;Rémiel;
2023-03-05;Pioupioute;x(cassé)
2023-03-06;Joséphine;x
2023-03-06;Valérie;x
2023-03-06;Rémiel;
2023-03-06;Albertine;
2023-03-06;Pioupioute;
2023-03-06;Cunégonde;
2023-03-06;Augustine;
