Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques
2023-05-09;Albertine;x;1;1;RAS;False;
2023-05-10;Albertine;;0;1;RAS;False;
2023-05-11;Albertine;x;1;1;RAS;False;
2023-05-12;Albertine;x;1;1;RAS;False;
2023-05-13;Albertine;;0;1;RAS;False;
2023-05-14;Albertine;;0;1;RAS;False;
2023-05-15;Albertine;x;1;1;RAS;False;
2023-05-16;Albertine;x(cassé);1;1;cassé;False;
2023-05-17;Albertine;x;1;1;RAS;False;
2023-05-18;Albertine;x;1;1;RAS;False;
2023-05-19;Albertine;;0;1;RAS;False;
2023-05-20;Albertine;x;1;1;RAS;False;
2023-05-21;Albertine;;0;1;RAS;False;
2023-05-22;Albertine;x;1;1;RAS;False;
2023-05-23;Albertine;x;1;1;RAS;False;
2023-05-24;Albertine;;0;1;RAS;False;
2023-05-25;Albertine;x;1;1;RAS;False;
2023-05-26;Albertine;;0;1;RAS;False;
2023-05-27;Albertine;x;1;1;RAS;False;
2023-05-28;Albertine;;0;1;RAS;False;
2023-05-29;Albertine;x;1;1;RAS;False;
2023-05-30;Albertine;x;1;1;RAS;False;
2023-05-31;Albertine;;0;1;RAS;False;
2023-06-01;Albertine;x;1;1;RAS;False;
2023-06-02;Albertine;;0;1;RAS;False;
2023-06-03;Albertine;x;1;1;RAS;False;
2023-06-04;Albertine;x;1;1;RAS;False;
2023-06-05;Albertine;;0;1;RAS;False;
2023-06-06;Albertine;x;1;1;RAS;False;
2023-06-07;Albertine;;0;1;RAS;False;
2023-06-08;Albertine;x?;1;1;RAS;True;
2023-06-09;Albertine;x;1;1;RAS;False;
2023-06-10;Albertine;;0;1;RAS;False;
2023-06-11;Albertine;;0;1;RAS;False;
2023-06-12;Albertine;;0;1;RAS;False;
2023-06-13;Albertine;;0;1;RAS;False;
2023-06-14;Albertine;x(cassé);1;1;cassé;False;
2023-06-15;Albertine;;0;1;RAS;False;
2023-06-16;Albertine;x;1;1;RAS;False;
2023-06-17;Albertine;;0;1;RAS;False;
2023-06-18;Albertine;;0;1;RAS;False;
2023-06-19;Albertine;x;1;1;RAS;False;
2023-06-20;Albertine;x;1;1;RAS;False;
2023-06-21;Albertine;;0;1;RAS;False;
2023-06-22;Albertine;x;1;1;RAS;False;
2023-06-23;Albertine;;0;1;RAS;False;
2023-06-24;Albertine;;0;1;RAS;False;
2023-06-25;Albertine;x;1;1;RAS;False;
2023-06-26;Albertine;;0;1;RAS;False;
2023-06-27;Albertine;x;1;1;RAS;False;
2023-06-28;Albertine;;0;1;RAS;False;
