Date;Ponte_brute;niveau_observation;group_id;Ponte;Etat_oeuf;Doute;Effectif;Remarques;Poule_brute
2023-01-13;;individuel;;0;RAS;False;1;;Rémiel
2023-01-13;;individuel;;0;RAS;False;1;;Saquiel
2023-01-14;;individuel;;0;RAS;False;1;;Valérie
2023-01-14;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-14;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-14;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-14;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-01-14;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-14;;individuel;;0;RAS;False;1;;Rémiel
2023-01-14;;individuel;;0;RAS;False;1;;Augustine
2023-01-15;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-15;;individuel;;0;RAS;False;1;;Augustine
2023-01-15;;individuel;;0;RAS;False;1;;Saquiel
2023-01-15;;individuel;;0;RAS;False;1;;Valérie
2023-01-15;;individuel;;0;RAS;False;1;;Rémiel
2023-01-15;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-15;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-15;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-16;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-16;;individuel;;0;RAS;False;1;;Valérie
2023-01-16;;individuel;;0;RAS;False;1;;Joséphine
2023-01-16;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-16;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-16;;individuel;;0;RAS;False;1;;Augustine
2023-01-16;;individuel;;0;RAS;False;1;;Rémiel
2023-01-16;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-01-17;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-17;;individuel;;0;RAS;False;1;;Valérie
2023-01-17;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-17;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-17;;individuel;;0;RAS;False;1;;Saquiel
2023-01-17;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-17;;individuel;;0;RAS;False;1;;Augustine
2023-01-17;;individuel;;0;RAS;False;1;;Rémiel
2023-01-18;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-18;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-18;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-18;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-18;;individuel;;0;RAS;False;1;;Valérie
2023-01-18;;individuel;;0;RAS;False;1;;Rémiel
2023-01-18;;individuel;;0;RAS;False;1;;Augustine
2023-01-18;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-19;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-19;;individuel;;0;RAS;False;1;;Rémiel
2023-01-19;;individuel;;0;RAS;False;1;;Augustine
2023-01-19;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-01-19;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-19;;individuel;;0;RAS;False;1;;Saquiel
2023-01-19;;individuel;;0;RAS;False;1;;Valérie
2023-01-19;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-20;;individuel;;0;RAS;False;1;;Augustine
2023-01-20;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-20;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-20;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-20;;individuel;;0;RAS;False;1;;Pioupioute
