Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
22/03/2023,19,,0,beau,,Joséphine,x,RAS,RAS,1
23/03/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
24/03/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
25/03/2023,17,,1,beau puis bruine,Pioupioute à l'ENVT,Joséphine,x,RAS,RAS,1
26/03/2023,19,,0,beau,trouvé un micro œuf,Joséphine,,no egg,RAS,0
27/03/2023,9,,8,pluie/éclaircie/vent,tempête la nuit,Joséphine,x,RAS,RAS,1
28/03/2023,10,,5,giboulées,,Joséphine,x,RAS,RAS,1
29/03/2023,16,,0,beau,,Joséphine,x,RAS,RAS,1
30/03/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
31/03/2023,20,,0,beau,,Joséphine,x,RAS,RAS,1
01/04/2023,12,,0,couvert/qq gouttes,"œuf d'Augustine trouvé dans le jardin, pas sûr du jour de ponte",Joséphine,x,RAS,RAS,1
02/04/2023,12,,3,couvert/vent/pluie,Augustine malade: amirudène 7J,Joséphine,x,RAS,RAS,1
03/04/2023,9,,15,pluie,,Joséphine,x,RAS,RAS,1
04/04/2023,9,,3,pluie/éclaircie,Augustine DCD,Joséphine,x,RAS,RAS,1
05/04/2023,15,,0,beau,aliment pondeuse,Joséphine,x,RAS,RAS,1
06/04/2023,17,,0,beau,,Joséphine,x,RAS,RAS,1
07/04/2023,13,,0,beau,,Joséphine,,no egg,RAS,0
08/04/2023,18,,0,beau,,Joséphine,x,RAS,RAS,1
09/04/2023,20,,0,beau,,Joséphine,,no egg,RAS,0
10/04/2023,24,,0,beau,,Joséphine,x,RAS,RAS,1
11/04/2023,19,,0,beau,,Joséphine,x,RAS,RAS,1
12/04/2023,16,,0,beau,,Joséphine,x,RAS,RAS,1
13/04/2023,17,,5,beau/pluie,,Joséphine,,no egg,RAS,0
14/04/2023,8,,4,giboulées,,Joséphine,x,RAS,RAS,1
15/04/2023,11,,3,giboulées,arrêt antibiotique Pioupioute/ponction à l'envt,Joséphine,x,RAS,RAS,1
16/04/2023,13,,1,giboulées/éclaircies,Pioupioute a pondu un œuf normal/veut couver,Joséphine,x,RAS,RAS,1
17/04/2023,16,,0,beau,,Joséphine,x,RAS,RAS,1
18/04/2023,16,,0,beau,,Joséphine,x,RAS,RAS,1
19/04/2023,17,,0,beau,,Joséphine,x,RAS,RAS,1
20/04/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
21/04/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
22/04/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
23/04/2023,13,,0,couvert/bruine,15°C à 5h du mat,Joséphine,x,RAS,RAS,1
24/04/2023,19,,7,beau/pluie,découverte d'une fibrine (?) dans le poulailler/mini œuf de Saquiel?,Joséphine,x,RAS,RAS,1
25/04/2023,17,,0,beau,,Joséphine,x,RAS,RAS,1
26/04/2023,15,,17,pluie,,Joséphine,x,RAS,RAS,1
27/04/2023,18,,2,couvert,,Joséphine,x,RAS,RAS,1
28/04/2023,23,,0,voilé/beau,,Joséphine,,no egg,RAS,0
29/04/2023,24,,0,voilé,,Joséphine,x,RAS,RAS,1
30/04/2023,17,,0,couvert/pluie,œuf d'Albertine très clair,Joséphine,,no egg,RAS,0
01/05/2023,18,,36,giboulées,dont 29mm dans la nuit du 29 au 30/04,Joséphine,x,RAS,RAS,1
