Date,T°C (12-15h),T°C poulailler,Pluie,Météo,commentaires
26/05/2023,17,,6,couvert/pluie,
27/05/2023,23,,0,beau,
28/05/2023,27,,0,beau,
29/05/2023,27,,0,beau,
30/05/2023,27,,24,beau/orage fort,
31/05/2023,26,,0,éclaircies,
01/06/2023,24,,5,beau/pluie,
02/06/2023,22,,1,pluie/éclaircies,
03/06/2023,23,,0,beau,
04/06/2023,25,,2,beau/orage,changement de poulailler
05/06/2023,26,,0,beau,
06/06/2023,25,,5,beau/pluie,
07/06/2023,26,,0,beau,
08/06/2023,27,,0,beau,
09/06/2023,27,,0,beau/orageux,
10/06/2023,26,,3,couvert/orage,
11/06/2023,27,,0,beau/orageux,
12/06/2023,25,,1,beau/orage,
13/06/2023,27,,31,couvert/orage,les 2 œufs ont été cassé par une poule ou une bête
14/06/2023,24,,23,beau/orage,"l'œuf d'Albertine très fragile, elle a des vers en plus/ Avipar/Avipou"
15/06/2023,21,,3,pluie/éclaircie,
16/06/2023,25,,0,couvert/beau,Saquiel malade/doxycycline
17/06/2023,26,,0,beau,
18/06/2023,30,,11,beau/orage,0 œuf
19/06/2023,27,,0,mitigé/,
20/06/2023,22,,0,couvert/beau,quelques gouttes
21/06/2023,25,,0,lourd,œuf de Valérie très fragile trouvé ds poulailler
22/06/2023,20,,7,orage,
23/06/2023,23,,6,pluie/éclaircies,Cunégonde veut couver
24/06/2023,28,,0,beau,
25/06/2023,28,24,0,beau,
26/06/2023,32,28,0,beau,
27/06/2023,21,22,0,couvert,
28/06/2023,27,24,0,nuageux,
29/06/2023,26,24,0,beau,
30/06/2023,24,22,13,nuageux/orage,
01/07/2023,19,20,3,pluie/couvert/vent,8 œuf sous Cunégonde: 6marans+1valérie+1joséphine
02/07/2023,22,20,0,couvert/vent,1œuf valérie et 1oeuf Joséphine sous Cunégonde
03/07/2023,25,22,0,éclaircies,1oeuf Albertine et un œuf Valérie donc 12 œufs sous Cunégonde
04/07/2023,27,23,0,couvert/éclaircies,
05/07/2023,26,24,1,lourd/orages,"Valérie tousse, avicoryl dans l'eau"
06/07/2023,27,24,0,éclaircies,
07/07/2023,27,24,0,beau/lourd/orageux,
08/07/2023,33,24,6,beau/orages,vit C dans l'eau+oligoélément
09/07/2023,32,26,0,beau,
10/07/2023,28,25,0,couvert/lourd,21°c et 80%H le matin
11/07/2023,31,27,0,beau,"22°C et 82%H  matin, 27°c à 22h"
12/07/2023,28,26,1,beau/orageux,œuf d'Albertine et Rémiel pondu cette nuit dans le poulailler
13/07/2023,21,22,1,pluie/couvert,
14/07/2023,23,22,0,bruine/couvert,
15/07/2023,31,26,0,beau,fin doxycyline pour Saquiel/ 24°C et 75%H à 23h ext/0 œuf
16/07/2023,30,21,3,beau/averses,17°C et 80%H à 20h
17/07/2023,27,23,0,mitigé/beau,
18/07/2023,27,26,0,beau,installation voile d'ombrage sur la terrasse
19/07/2023,33,26,0,beau,36°C à 16h/26° à 22h30/ Joséphine semble vouloir couver
20/07/2023,24,23,2,orage/couvert,orages la nuit du 18 au 19/07
21/07/2023,27,23,0,beau,Valérie semble vouloir couver aussi cette coquine!!
22/07/2023,19,21,0,couvert/bruine,Valérie couve…........
23/07/2023,29,23,0,soleil et qq nuages,
24/07/2023,30,26,0,beau,0 œuf/ 26°c à 21h30
25/07/2023,21,21,3,couvert/pluie,
26/07/2023,15,19,3,pluie/couvert/vent,trouvé 1 œuf d'Albertine dans le jardin
27/07/2023,28,21,0,beau,
28/07/2023,30,23,16,beau/orages,0 œuf
29/07/2023,29,24,0,beau,
30/07/2023,31,25,0,beau/orage,
31/07/2023,22,23,12,pluie/couvert,
01/08/2023,27,21,0,beau,découverte de poux rouges/retour dans l'ancien poulailler/T°p=T°ext
02/08/2023,24,24,0,couvert/vent,"retour dans le poulailler ""terrasse"""
03/08/2023,28,24,3,beau/couvert/pluie,traitement exzolt
04/08/2023,17,,0,bruine/éclaircies,
05/08/2023,18,18,13,giboulées,1 œuf cassé et 1 œuf mou/retour ancien poulailler
06/08/2023,22,20,0,éclaircies,
07/08/2023,23,20,1,Bruine/éclaircies/vent,
08/08/2023,23,,0,beau,0 œuf
09/08/2023,28,20,0,beau,0 oeuf/T°C poulailler à 22-23h
10/08/2023,30,21,0,beau,traitement exzolt
11/08/2023,30,25,0,beau,avhydratC+Gascodrène
12/08/2023,33,21,0,Brumeux/beau,avhydratC+Gascodrène
13/08/2023,32,23,0,beau,avhydratC+Gascodrène
14/08/2023,30,26,0,voilé,avhydratC+Gascodrène
15/08/2023,32,26,0,beau/vent,avhydratC+Gascodrène
16/08/2023,26,23,"0,5",pluie fine/couvert,
17/08/2023,25,23,0,couvert,
18/08/2023,32,26,0,bruine le matin,avhydrat C+gascodrène
19/08/2023,32,26,0,voilé/vent,avhydratC+Gascodrène
20/08/2023,34,26,0,vigilance canicule,avhydratC+Gascodrène
21/08/2023,37,29,0,canicule,avhydratC+Gascodrène
22/08/2023,34,26,0,canicule,idem
23/08/2023,36,27,0,canicule,C+Gasco/ nuit tropicale 27°c/ 73% H à 22h40
24/08/2023,40,28,0,canicule,C+Gasco
