Date;T°C (12h-15h);Pluie(mm);Météo;Humidité;Météo_1;Météo_2;Météo_3;Météo_4;Type_Météo_1;Type_Météo_2;Type_Météo_3;Type_Météo_4
2023-02-23;11.0;4.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-24;12.0;2.5;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-25;7.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-26;5.0;0.0;vent/froid/couvert;;vent;froid;couvert;;VENT;FROID;COUVERT;NON RENSEIGNE
2023-02-27;1.0;0.0;vent/neige/éclaircie;;vent;neige;éclaircie;;VENT;NEIGE;ECLAIRCIES;NON RENSEIGNE
2023-02-28;2.0;0.0;éclaircie/vent;;éclaircie;vent;;;ECLAIRCIES;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-03-01;8.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-02;7.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-03;7.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-04;10.0;1.5;éclaircie;;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-05;10.0;0.0;éclaircie;;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-06;10.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-07;12.0;0.0;éclaircie/averse;;éclaircie;averse;;;ECLAIRCIES;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-03-08;23.0;2.0;voilé;;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-09;20.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-10;18.0;0.5;mitigé;;mitigé;;;;MITIGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-11;15.0;0.0;mitigé/vent violent;;mitigé;vent violent;;;MITIGE;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-03-12;15.0;0.5;vent/pluie;;vent;pluie;;;VENT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-03-13;23.0;4.0;bruine/très beau;;bruine;très beau;;;PLUIE;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-03-14;22.0;14.0;beau/orage/tempête;;beau;orage;tempête;;BEAU;ORAGE;VENT;NON RENSEIGNE
2023-03-15;12.0;2.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-16;15.0;5.0;pluie/éclaircie;;pluie;éclaircie;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-03-17;19.0;0.0;beau/vent;;beau;vent;;;BEAU;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-03-18;18.0;0.0;couvert/beau/vent;;couvert;beau;vent;;COUVERT;BEAU;VENT;NON RENSEIGNE
2023-03-19;16.0;7.0;beau/pluie;;beau;pluie;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-03-20;16.0;1.5;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-21;17.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-22;19.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-23;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-24;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-25;17.0;1.0;beau/bruine;;beau;bruine;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-03-26;19.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-27;9.0;8.0;pluie/éclaircie/vent;;pluie;éclaircie;vent;;PLUIE;ECLAIRCIES;VENT;NON RENSEIGNE
2023-03-28;10.0;5.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-29;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-30;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-03-31;20.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-01;12.0;0.0;couvert/qq gouttes;;couvert;qq gouttes;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-04-02;12.0;3.0;couvert/vent/pluie;;couvert;vent;pluie;;COUVERT;VENT;PLUIE;NON RENSEIGNE
2023-04-03;9.0;15.0;pluie;;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-04;9.0;3.0;pluie/éclaircie;;pluie;éclaircie;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-04-05;15.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-06;17.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-07;13.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-08;18.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-09;20.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-10;24.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-11;19.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-12;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-13;17.0;5.0;beau/pluie;;beau;pluie;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-04-14;8.0;4.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-15;11.0;3.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-16;13.0;1.0;giboulées/éclaircies;;giboulées;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-04-17;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-18;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-19;17.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-20;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-21;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-22;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-23;13.0;0.0;couvert/bruine;;couvert;bruine;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-04-24;19.0;7.0;beau/pluie;;beau;pluie;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-04-25;17.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-26;15.0;17.0;pluie;;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-27;18.0;2.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-28;23.0;0.0;voilé/beau;;voilé;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-04-29;24.0;0.0;voilé;;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-04-30;17.0;0.0;couvert/pluie;;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-05-01;18.0;36.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-02;18.0;2.0;giboulées/éclaircies;;giboulées;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-05-03;20.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-04;25.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-05;25.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-06;23.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-07;24.0;0.0;beau/orage;;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-05-08;17.0;8.0;averses;;averses;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-09;22.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-10;15.0;15.0;couvert/pluie;;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-05-11;16.0;2.0;pluie/giboulées;;pluie;giboulées;;;PLUIE;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-05-12;15.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-13;17.0;6.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-05-14;13.0;15.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-15;15.0;10.0;averses/éclaircies;;averses;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-05-16;11.0;6.0;averses;;averses;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-17;13.0;2.0;pluie/éclaircie;;pluie;éclaircie;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-05-18;18.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-19;14.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-20;10.0;4.0;pluie/couvert;;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-05-21;15.0;0.0;éclaircies/beau;;éclaircies;beau;;;ECLAIRCIES;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-05-22;16.0;0.0;couvert/beau;;couvert;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-05-23;18.0;4.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-05-24;22.0;6.0;temps lourd/orages;;temps lourd;orages;;; CHAUD;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-05-25;20.0;25.0;lourd/orages;;lourd;orages;;;CHAUD;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-05-26;17.0;6.0;couvert/pluie;;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-05-27;23.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-28;27.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-29;27.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-05-30;27.0;24.0;beau/orage fort;;beau;orage fort;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-05-31;26.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-01;24.0;5.0;beau/pluie;;beau;pluie;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-06-02;22.0;1.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-06-03;23.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-04;25.0;2.0;beau/orage;;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-05;26.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-06;25.0;5.0;beau/pluie;;beau;pluie;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-06-07;26.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-08;27.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-09;27.0;0.0;beau/orageux;;beau;orageux;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-10;26.0;3.0;couvert/orage;;couvert;orage;;;COUVERT;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-11;27.0;0.0;beau/orageux;;beau;orageux;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-12;25.0;1.0;beau/orage;;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-13;27.0;31.0;couvert/orage;;couvert;orage;;;COUVERT;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-14;24.0;23.0;beau/orage;;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-15;21.0;3.0;pluie/éclaircie;;pluie;éclaircie;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-06-16;25.0;0.0;couvert/beau;;couvert;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-06-17;26.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-18;30.0;11.0;beau/orage;;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-06-19;27.0;0.0;mitigé/;;mitigé;;;;MITIGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-20;22.0;0.0;couvert/beau;;couvert;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-06-21;25.0;0.0;lourd;;lourd;;;;CHAUD;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-22;20.0;7.0;orage;;orage;;;;ORAGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-23;23.0;6.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-06-24;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-25;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-26;32.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-27;21.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-28;27.0;0.0;nuageux;;nuageux;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-29;26.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-06-30;24.0;13.0;nuageux/orage;;nuageux;orage;;;COUVERT;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-07-01;19.0;3.0;pluie/couvert/vent;;pluie;couvert;vent;;PLUIE;COUVERT;VENT;NON RENSEIGNE
2023-07-02;22.0;0.0;couvert/vent;;couvert;vent;;;COUVERT;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-07-03;25.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-04;27.0;0.0;couvert/éclaircies;;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-07-05;26.0;1.0;lourd/orages;;lourd;orages;;;CHAUD;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-07-06;27.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-07;27.0;0.0;beau/lourd/orageux;;beau;lourd;orageux;;BEAU;CHAUD;ORAGE;NON RENSEIGNE
2023-07-08;33.0;6.0;beau/orages;;beau;orages;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-07-09;32.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-10;28.0;0.0;couvert/lourd;;couvert;lourd;;;COUVERT;CHAUD;NON RENSEIGNE;NON RENSEIGNE
2023-07-11;31.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-12;28.0;1.0;beau/orageux;;beau;orageux;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-07-13;21.0;1.0;pluie/couvert;;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-07-14;23.0;0.0;bruine/couvert;;bruine;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-07-15;31.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-16;30.0;3.0;beau/averses;;beau;averses;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-07-17;27.0;0.0;mitigé/beau;;mitigé;beau;;;MITIGE;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-07-18;27.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-19;33.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-20;24.0;2.0;orage/couvert;;orage;couvert;;;ORAGE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-07-21;27.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-22;19.0;0.0;couvert/bruine;;couvert;bruine;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-07-23;29.0;0.0;soleil/qq nuages;;soleil;qq nuages;;;BEAU;NUAGES;NON RENSEIGNE;NON RENSEIGNE
2023-07-24;30.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-25;21.0;3.0;couvert/pluie;;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-07-26;15.0;3.0;pluie/couvert/vent;;pluie;couvert;vent;;PLUIE;COUVERT;VENT;NON RENSEIGNE
2023-07-27;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-28;30.0;16.0;beau/orages;;beau;orages;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-07-29;29.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-07-30;31.0;0.0;beau/orage;;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-07-31;22.0;12.0;pluie/couvert;;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-08-01;27.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-02;24.0;0.0;couvert/vent;;couvert;vent;;;COUVERT;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-08-03;28.0;3.0;beau/couvert/pluie;;beau;couvert;pluie;;BEAU;COUVERT;PLUIE;NON RENSEIGNE
2023-08-04;17.0;0.0;bruine/éclaircies;;bruine;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-08-05;18.0;13.0;giboulées;;giboulées;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-06;22.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-07;23.0;1.0;bruine/éclaircies/vent;;bruine;éclaircies;vent;;PLUIE;ECLAIRCIES;VENT;NON RENSEIGNE
2023-08-08;23.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-09;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-10;30.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-11;30.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-12;33.0;0.0;brumeux/beau;;brumeux;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-08-13;32.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-14;30.0;0.0;voilé;;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-15;32.0;0.0;beau/vent;;beau;vent;;;BEAU;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-08-16;26.0;0.5;pluie fine/couvert;;pluie fine;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-08-17;25.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-18;32.0;0.0;bruine/mitigé;;bruine;mitigé;;;PLUIE;MITIGE;NON RENSEIGNE;NON RENSEIGNE
2023-08-19;32.0;0.0;voilé/vent;;voilé;vent;;;COUVERT;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-08-20;34.0;0.0;vigilance canicule;;vigilance canicule;;;;CANICULE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-21;37.0;0.0;canicule;;canicule;;;;CANICULE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-22;34.0;0.0;canicule;;canicule;;;;CANICULE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-23;36.0;0.0;canicule;;canicule;;;;CANICULE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-24;40.0;0.0;canicule;;canicule;;;;CANICULE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-25;40.5;0.0;canicule;;canicule;;;;CANICULE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-26;23.0;3.0;pluie/couvert;;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-08-27;19.0;8.0;pluie;;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-08-28;16.0;37.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-08-29;17.0;5.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-08-30;20.0;0.0;éclaircies/vent;;éclaircies;vent;;;ECLAIRCIES;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-08-31;22.0;1.0;éclaircies/averses;;éclaircies;averses;;;ECLAIRCIES;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2023-09-01;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-02;31.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-03;22.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-04;26.0;0.0;beau/voilé;;beau;voilé;;;BEAU;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2023-09-05;28.0;0.0;voilé/vent;;voilé;vent;;;COUVERT;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-09-06;29.0;0.0;voilé;;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-07;27.0;0.0;voilé;;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-08;30.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-09;29.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-10;30.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-11;30.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-12;30.0;0.0;couvert/éclaircies;;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-09-13;24.0;22.0;mitigé/orages;;mitigé;orages;;;MITIGE;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-09-14;25.0;0.0;éclaircies;;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-15;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-16;28.0;3.0;beau/orageux/pluie;;beau;orageux;pluie;;BEAU;ORAGE;PLUIE;NON RENSEIGNE
2023-09-17;28.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-09-18;25.0;3.0;beau/orages;;beau;orages;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2023-09-19;26.0;6.0;beau/orages;;beau;orages;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
