Date;Texte;Année;Catégorie;Poules_Cités
2023-08-13;avhydratC+Gascodrène;2023;Santé / Soins;Aucune
2023-08-14;avhydratC+Gascodrène;2023;Santé / Soins;Aucune
2023-08-15;avhydratC+Gascodrène;2023;Santé / Soins;Aucune
2023-08-18;avhydrat C+gascodrène;2023;Santé / Soins;Aucune
2023-08-19;avhydratC+Gascodrène;2023;Santé / Soins;Aucune
2023-08-20;avhydratC+Gascodrène;2023;Santé / Soins;Aucune
2023-08-21;avhydratC+Gascodrène;2023;Santé / Soins;Aucune
2023-08-22;idem;2023;Vie du Poulailler / Divers;Aucune
2023-08-23;C+Gasco;2023;Santé / Soins;Aucune
2023-08-23;nuit tropicale 27°c;2023;Météo / Environnement;Aucune
2023-08-23;73% H à 22h40;2023;Autre;Aucune
2023-08-24;C+Gasco;2023;Santé / Soins;Aucune
2023-08-25;c+Gasco;2023;Santé / Soins;Aucune
2023-09-03;trouvé un oeuf minuscule Saquiel ou Albertine;2023;Anomalies Œufs;Albertine, Saquiel
2023-09-05;sable du Sahara dans l'air;2023;Météo / Environnement;Aucune
2023-09-06;sable du Sahara dans l'air;2023;Météo / Environnement;Aucune
2023-09-07;sable du Sahara dans l'air;2023;Météo / Environnement;Aucune
2023-10-24;Albertine malade;2023;Santé / Soins;Albertine
2023-10-24;rhume;2023;Santé / Soins;Aucune
2023-10-25;avicoryl;2023;Santé / Soins;Aucune
2023-11-09;petite gelée matinale;2023;Météo / Environnement;Aucune
2023-11-19;environ 20°C;2023;Météo / Environnement;Aucune
2023-11-27;belle gelée matinale -3°c;2023;Météo / Environnement;Aucune
2023-12-04;gelée matinale;2023;Météo / Environnement;Aucune
2023-12-18;-4°C ce matin;2023;Météo / Environnement;Aucune
2023-12-19;gelée matinale;2023;Météo / Environnement;Aucune
2023-12-28;grosse gelée matinale;2023;Météo / Environnement;Aucune
2024-01-01;pas se fier aux noms des marans mais juste à la colonne marans;2024;Installation / Technique;Marans
2024-01-10;-4°c ce matin;2024;Météo / Environnement;Aucune
2024-01-12;gelée matinale;2024;Météo / Environnement;Aucune
2024-01-13;gelée matinale;2024;Météo / Environnement;Aucune
2024-01-18;tempête à 18h30;2024;Météo / Environnement;Aucune
2024-01-20;-4°C ce matin à 6h;2024;Météo / Environnement;Aucune
2024-01-21;-4°C ce matin 6h;2024;Météo / Environnement;Aucune
